Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Dungeon Crawler Carl,Matt Dinniman,"","",digital,to-read,2025/03/16,"","",0,"",,,,,,,,,"",,"",No
Ocean's Echo,Everina Maxwell,"",9781250758866,hardcover,to-read,2023/08/16,"","",0,"",,,,,,,,,"",,"",No
Fun Home: A Family Tragicomic,Alison Bechdel,"",9780618871711,paperback,read,2025/11/11,2025/12/13,2025/11/10-2025/12/13,1,"",,,,,,,4.25,"","","","",No
My Brilliant Friend,Elena Ferrante,Ann Goldstein (Translator),9781609450786,paperback,to-read,2024/05/30,"","",0,"",,,,,,,,,"",,"",No
The Catcher in the Rye,J.D. Salinger,"",9780316769174,paperback,read,2023/06/02,"","",1,"",,,,,,,3.0,,"",,"",No
A Room of One's Own,Virginia Woolf,Mary Gordon,9780156787338,paperback,read,2023/06/04,2023/06/05,2023/06/05,1,"",,,,,,,4.0,,"",,"",No
Young Mungo,Douglas Stuart,"",B099S3DLFZ,digital,read,2023/06/05,"","",1,"",,,,,,,4.0,,"",,"",No
"Women, Race & Class",Angela Y. Davis,"",9780394713519,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
Captive Prince,C.S. Pacat,Stephen Bel Davies (Narrator),B0716FJDN8,audio,to-read,2023/06/06,"","",0,"",,,,,,,,,"",,"",No
Winter's Orbit,Everina Maxwell,"",9780356515885,paperback,to-read,2023/08/16,"","",0,"",,,,,,,,,"",,"",No
Jurassic Park,Michael Crichton,"",9780345538987,paperback,to-read,2025/03/22,"","",0,"",,,,,,,,,"",,"",No
The Song of Achilles,Madeline Miller,"",9781408816035,hardcover,read,2023/06/15,"","",1,"adventurous, emotional",fast,Character,Yes,Yes,"","",4.0,"","","","",No
Politics,Aristotle,"",9780486414249,paperback,read,2023/06/03,"","",1,"",,,,,,,3.0,,"",,"",No
The Alchemist,Paulo Coelho,Alan R. Clarke (Translator),9780061122415,paperback,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
The Story of the Lost Child,Elena Ferrante,Ann Goldstein (Translator),9781609452865,paperback,to-read,2024/05/30,"","",0,"",,,,,,,,,"",,"",No
Don Quixote,Miguel de Cervantes,"",9781520490380,paperback,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
A Prayer for the Crown-Shy,Becky Chambers,"",9781250236234,hardcover,read,2025/11/07,2025/11/09,2025/11/06-2025/11/09,1,"",,,,,,,,,"",,"",No
State and Revolution,Vladimir Lenin,"",9781614271925,paperback,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
On Earth We're Briefly Gorgeous,Ocean Vuong,"",9780525562023,hardcover,read,2023/06/05,"","",1,"",,,,,,,,,"",,"",No
Harry Potter and the Chamber of Secrets,J.K. Rowling,"",9781408855669,paperback,read,2025/12/18,1998,1998-1998,1,"",,,,,,,,,"",,"",No
Hyperion,Dan Simmons,"",9780553283686,paperback,to-read,2023/06/10,"","",0,"",,,,,,,,,"",,"",No
Tales of the City,Armistead Maupin,"",9780552998765,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
Slaughterhouse-Five,Kurt Vonnegut,"",9780385333849,paperback,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
